nama_produk,harga,harga_original,diskon,rating,jumlah_review,jumlah_terjual,sumber
DERMACTION PLUS Potent Triple Vitamin C Whip Facial Foam 100 g,45900.0,91900.0,50.0,5.0,3.0,,Watsons
WATSONS Micellar Water Hydra 500ml,44900.0,99900.0,55.0,5.0,2.0,,Watsons
WATSONS Micellar Water Hydra 100ml,20900.0,29900.0,30.0,,0.0,,Watsons
COLLAGEN BY WATSONS Hydro Balance Aqua Balm 9g,202900.0,289900.0,30.0,,0.0,,Watsons
WATSONS Girlish Gentle & Mild Micellar Cleansing Water 485ml,39900.0,99900.0,60.0,5.0,84.0,,Watsons
DERMACTION PLUS Potent Triple Vitamin C Intensive Serum 35 ml,96900.0,194900.0,50.0,5.0,2.0,,Watsons
COLLAGEN BY WATSONS Hydro Balance Eye Treatment Cream 20ml,139900.0,199900.0,30.0,,0.0,,Watsons
WATSONS Watsons Micellar Water Gentle for Sensitive Skin 500ml,44900.0,99900.0,55.0,5.0,10.0,,Watsons
WATSONS Watsons Micellar Water Gentle for Sensitive Skin 100ml,20900.0,29900.0,30.0,5.0,4.0,,Watsons
WATSONS Cicare Pro+ Soothing Mask 30ml,12900.0,27900.0,50.0,,0.0,,Watsons
WATSONS Deep Hydra Essence Mask 23ml,10900.0,24900.0,0.0,,0.0,,Watsons
WATSONS Radiance Glow Essence Mask 23ml,10900.0,24900.0,0.0,,0.0,,Watsons
WATSONS Pore-less Essence Mask 23ml,10900.0,24900.0,0.0,,0.0,,Watsons
WATSONS Intensive Repair Essence Mask 23ml,10900.0,24900.0,0.0,,0.0,,Watsons
WATSONS Advanced Soothe Essence Mask 23ml,10900.0,24900.0,0.0,,0.0,,Watsons
DERMACTION PLUS Advanced Sun Solar Barrier Face & Body Lotion SPF50+ PA++++ 150ml,99900.0,199900.0,50.0,5.0,4.0,,Watsons
WATSONS Watsons Acne Patch Assorted 24'S,22900.0,46900.0,50.0,5.0,22.0,,Watsons
WATSONS Watsons Acne Patch Regular 24'S,22900.0,46900.0,50.0,5.0,14.0,,Watsons
WATSONS Watsons Hydrating Cream Mask 1'S,10900.0,27900.0,60.0,5.0,3.0,,Watsons
WATSONS Watsons Whitening Cream Mask 1'S,10900.0,27900.0,60.0,5.0,5.0,,Watsons
WATSONS Watsons Firminig Cream Mask 1'S,10900.0,27900.0,60.0,5.0,2.0,,Watsons
WATER 360 Mineral Spring Peppermint Nourishing Lip Balm 3.5g,29900.0,50500.0,40.0,5.0,1.0,,Watsons
WATSONS Watsons True Colour Sparkling Red Lip Gloss 8g,26900.0,54900.0,50.0,5.0,1.0,,Watsons
WATSONS Watsons Treatment Plus Soft Lip Gel 8g,31900.0,64500.0,50.0,5.0,3.0,,Watsons
NOLJA BY WATSONS Nolja Acai Berry Firming Mask 1'S,9900.0,25900.0,60.0,5.0,18.0,,Watsons
NOLJA BY WATSONS Nolja Avocado Elastic Mask 1'S,9900.0,25900.0,60.0,5.0,15.0,,Watsons
NOLJA BY WATSONS Nolja Aloe Vera Soothing Mask 1'S,9900.0,25900.0,60.0,5.0,12.0,,Watsons
NOLJA BY WATSONS Nolja Mango Vitality Mask 1'S,9900.0,25900.0,60.0,5.0,10.0,,Watsons
DERMACTION PLUS Advanced Sun Solar Barrier Face Fluid SPF50+ PA++++ 50ml,99900.0,199900.0,50.0,5.0,3.0,,Watsons
DERMACTION PLUS Advanced Sun Solar Barrier CC Nude Cream SPF50+ PA++++ 40ml,76900.0,154900.0,50.0,5.0,1.0,,Watsons
WATSONS Very High Protection Sunscreen Face Serum SPF50+ PA++++ 50ml,73900.0,105900.0,30.0,5.0,21.0,,Watsons
DERMACTION PLUS Dermaction Plus by Watsons Advanced Sun Solar Barrier Invisble Balm SPF50+ PA++++ 40ml,74900.0,149900.0,50.0,,0.0,,Watsons
DERMACTION PLUS Dermaction Plus by Watsons Advanced Sun Solar Barrier Cream Gel SPF50+ PA++++ 40ml,76900.0,154900.0,50.0,5.0,1.0,,Watsons
WATSONS Watsons Treatment Plus Lip Balm SPF30 4.5g,27900.0,55500.0,50.0,5.0,2.0,,Watsons
WATSONS Watsons True Colour Nude Peach Lip Balm 1.7g,26900.0,54900.0,50.0,5.0,1.0,,Watsons
WATSONS Watsons True Colour Blooming Pink Lip Balm 1.7g,26900.0,54900.0,50.0,5.0,2.0,,Watsons
WATSONS Watsons True Colour Red Apple Cheek & Lip 15ml,29900.0,59900.0,50.0,,0.0,,Watsons
WATSONS Watsons True Colour Pink Cherry Cheek & Lip 15ml,28900.0,57500.0,50.0,,0.0,,Watsons
WATSONS Watsons Baby Tint Glow Coral Rose Lip Balm SPF15 3.9g,29900.0,59900.0,50.0,,0.0,,Watsons
WATSONS Watsons Micellar Cleansing Wipes Deep Cleanse 20'S,12500.0,29900.0,55.0,5.0,67.0,,Watsons
WATSONS Watsons Micellar Cleansing Wipes Gentle 20'S,12500.0,29900.0,55.0,5.0,40.0,,Watsons
WATER 360 Mineral Spring UV Day Protector 50ml,91900.0,153900.0,40.0,5.0,4.0,,Watsons
OVALE Facial Lotion Lemon 200ml,37500.0,37500.0,0.0,,0.0,,Watsons
INEZ Lightweight Facial Foam 75g,42000.0,42000.0,0.0,,0.0,,Watsons
INEZ Oilfree Facial Foam 75g,42000.0,42000.0,0.0,,0.0,,Watsons
CLEAN & CLEAR Foaming Facial Wash 50ml,22900.0,22900.0,0.0,5.0,8.0,,Watsons
OVALE Facial Lotion Whiten 200M,37500.0,37500.0,0.0,5.0,10.0,,Watsons
BC SKIN Rose Refreshing Facial Wash 100ml,28000.0,28000.0,0.0,,0.0,,Watsons
VOTRE PEAU Herbal Lavender Facial Cleanser 100 ml,185000.0,185000.0,0.0,5.0,1.0,,Watsons
INEZ Acne Care Facial Wash 75g,50000.0,50000.0,0.0,,0.0,,Watsons
GLAD2GLOW Glycolic Acid Facial Wash 70g,32300.0,39000.0,0.0,5.0,1.0,,Watsons
INEZ Exclusive All Day Facial Moisturizer 30g,58600.0,69000.0,15.0,,0.0,,Watsons
BLESS Bless Acne Gentle Facial Wash 100ml,129000.0,129000.0,0.0,,0.0,,Watsons
VOTRE PEAU Saharan Snow Drop Facial Emulsion 15 ml,165000.0,165000.0,0.0,,0.0,,Watsons
ACNAWAY Mugwort Gel Facial Wash 100ml,36000.0,43500.0,10.0,,0.0,,Watsons
INEZ Skin Clarifying Facial Foam 75g,52000.0,52000.0,0.0,,0.0,,Watsons
POISE Poise Anti Bacterial Facial Foam 100g,18900.0,31500.0,25.0,5.0,17.0,,Watsons
GARNIER Bright Complete Anti-Acne Facial Foam 100ml,47900.0,47900.0,0.0,5.0,8.0,,Watsons
SPASCRIPTIONS Facial Cleansing Power Brush,249900.0,249900.0,0.0,,0.0,,Watsons
PONDS Clear Solutions Facial Scrub 100gr,42000.0,52500.0,20.0,5.0,7.0,,Watsons
PONDS Pure White Facial Foam 100gr,38600.0,48300.0,20.0,5.0,18.0,,Watsons
PONDS White Beauty Facial Foam 50gr,26800.0,29800.0,10.0,5.0,3.0,,Watsons
SIMPLE Simple Kind To Skin Soothing Facial Toner 200ml,47900.0,95900.0,30.0,5.0,5.0,,Watsons
SIMPLE Simple Kind to Skin Refreshing Facial Wash 150ml,55200.0,78900.0,30.0,5.0,5.0,,Watsons
SIMPLE Simple Kind to Skin Moisturising Facial Wash 150ml,78900.0,78900.0,0.0,5.0,3.0,,Watsons
GLUTANEX Aqua Booster Hydrating Facial Cream 50ml,165400.0,330900.0,50.0,,0.0,,Watsons
CLEAN & CLEAR Facial Wash 100ml,25800.0,34500.0,25.0,5.0,75.0,,Watsons
AZARINE Azarine Brightening Glow Facial Cleanser 60ml,22000.0,35000.0,10.0,5.0,1.0,,Watsons
GLOW & LOVELY Glow & Lovely Multi Vitamin Facial Foam 100g,39000.0,39000.0,0.0,5.0,5.0,,Watsons
PONDS Ponds Pure Bright Whip Facial Foam 100g,47200.0,52500.0,10.0,5.0,3.0,,Watsons
PONDS Ponds Bright Beauty Whip Facial Foam 100G,42000.0,52500.0,20.0,5.0,5.0,,Watsons
HADA LABO Ultimate White Facial Wash 50g,33000.0,33000.0,0.0,5.0,89.0,,Watsons
PIGEON Pigeon Teens Facial Foam Acne Care 100ml,31200.0,39000.0,20.0,5.0,1.0,,Watsons
SIMPLE Simple Water Boost Micellar Facial Gel Wash 150ml,49900.0,99900.0,30.0,5.0,5.0,,Watsons
KOJIE-SAN Kojie San Skin Lightening Facial Wash with Hydromoist 100g,93500.0,93500.0,0.0,5.0,5.0,,Watsons
GLOW & LOVELY Glow & Lovely Multi Vitamin Facial Foam 50g,16800.0,24000.0,30.0,5.0,4.0,,Watsons
GLOW & LOVELY Glow & Lovely Vitamin C Glow Facial Foam 100g,36400.0,40500.0,10.0,,0.0,,Watsons
PONDS Age Miracle Youthful Glow Facial Treatment Cleanser 100g,81500.0,81500.0,0.0,5.0,7.0,,Watsons
POISE Poise Clear Shine Oil Control Facial Foam 100g,18900.0,31500.0,25.0,5.0,18.0,,Watsons
BIO BEAUTY LAB Bio Beauty Lab Luxurious Facial Oil Serum 5ml,84000.0,120000.0,30.0,5.0,2.0,,Watsons
CLEAN & CLEAR Foaming Facial Wash 100ml + Oil Control Film 60'S,72900.0,72900.0,0.0,,0.0,,Watsons
GLAD2GLOW Low PH 5.5 Gentle Facial Wash 70ml,32300.0,39000.0,0.0,5.0,3.0,,Watsons
SKIN GAME Skin Game Kind Hydrating Facial Wash 230ml,156000.0,208000.0,25.0,,0.0,,Watsons
SKIN GAME Skin Game Kind Hydrating Facial Wash 100ml,103500.0,138000.0,25.0,,0.0,,Watsons
BC SKIN 10in1 Whitening Facial Wash 100ml,114700.0,135000.0,15.0,,0.0,,Watsons
GLOW & LOVELY Glow & Lovely Vitamin C Glow Facial Foam 50g,24000.0,24000.0,0.0,5.0,3.0,,Watsons
BREYLEE Orange Energy Facial Mask 25ml,5340.0,8900.0,20.0,5.0,13.0,,Watsons
QVS Puff Qvs 10-1085 facial celansing chamois,67900.0,67900.0,0.0,,0.0,,Watsons
EMINA Ms. Pimple Acne Solution Facial Wash 50ml,23000.0,23000.0,0.0,5.0,11.0,,Watsons
TAMMIA Tammia TSC-002 2-In-1 Facial Cleansing Brush,119900.0,119900.0,0.0,,0.0,,Watsons
SKIN GAME Skin Game Kind Deep Cleanse Facial Wash 100ml,103500.0,138000.0,25.0,,0.0,,Watsons
GLAD2GLOW Volcanic Ash+BHA Deep Pore Clean Facial Cleanser 70ml,32500.0,39000.0,0.0,5.0,3.0,,Watsons
YOU YOU Hy! Amino Ac-Ttac kAnti-Acne Facial Wash 100ML,38000.0,38000.0,0.0,5.0,1.0,,Watsons
QVS QVS 10-1067 2 Small Facial Cleansing Sponge,56900.0,56900.0,0.0,5.0,1.0,,Watsons
THE ORIGINOTE Gentle Facial Wash Low pH Cleanser 150ml,53000.0,53000.0,0.0,5.0,1.0,,Watsons
AVOSKIN Avoskin Natural Sublime Facial Cleanser 100ml,122400.0,144000.0,10.0,5.0,2.0,,Watsons
BREYLEE Aloe Vera Energy Facial Mask 25ml,5340.0,8900.0,20.0,5.0,13.0,,Watsons
GARNIER Sakura Glow - Facial Wash Garnier Sakura 100ml,30000.0,45500.0,0.0,5.0,18.0,,Watsons
BC SKIN Acne Completed Care Actions Facial Wash 100ml,114700.0,135000.0,15.0,,0.0,,Watsons
YOU YOU Hy! Amino Glowing Gentle Cleansing Facial Wash 100g,38000.0,38000.0,0.0,5.0,1.0,,Watsons
FACETOLOGY Facetology Triple Care Facial Gel Cleanser Gentle Low PH Oat 100ml,70900.0,70900.0,0.0,5.0,6.0,,Watsons
LACOCO Lacoco Ultimate Golden Swallow Facial Foam 100ml,122400.0,153000.0,15.0,,0.0,,Watsons
CLINELLE Clinelle Caviar Gold Firming Facial Mask 25ml,47000.0,47000.0,0.0,5.0,3.0,,Watsons
PONDS Ponds Bright Miracle Ultimate Clarity Niasorcinol Facial Foam 100g,45000.0,45000.0,0.0,5.0,28.0,,Watsons
ARMANDO CARUSO Amanda Caruso Facial Masker Set Bonus Cleansing Sponge - 1004,49900.0,49900.0,0.0,,0.0,,Watsons
HADA LABO Hada Labo Tamagohada Mild Peeling Make Up Remover + Facial Wash 50g,26500.0,44000.0,35.0,5.0,7.0,,Watsons
VOTRE PEAU Daily Facial Sun Shield Spf 50 Pa++ 30 ml,265000.0,265000.0,0.0,5.0,2.0,,Watsons
LIGHT+ Light+ by Wardah Low pH Nano Niacinamide Hyaluronic Zinc Whip Facial Foam 100ml - Lightening,37500.0,37500.0,0.0,5.0,18.0,,Watsons
NIVEA Sparkling Bright Facial Foam 100ml,43000.0,43000.0,0.0,5.0,0.0,,Watsons
LIGHT+ Light+ by Wardah Low pH Nano Niacinamide Low Molecular Hyaluronic Gentle Facial Wash 100ml - Lightening,37500.0,37500.0,0.0,5.0,17.0,,Watsons
DERMACTION PLUS Dermaction Plus by Watsons Acne Series Purifying Facial Gel 100ml,35900.0,71900.0,50.0,5.0,7.0,,Watsons
BREYLEE Breylee Facial Cleanser 100G,27730.0,59000.0,0.0,5.0,2.0,,Watsons
PIGEON Pigeon Teens Facial Foam Daily Mild Cleansing 100ml,27200.0,34000.0,20.0,5.0,16.0,,Watsons
EMINA Emina Bright Stuff Face Wash 50ml,20500.0,20500.0,0.0,5.0,30.0,,Watsons
PIGEON Pigeon Teens Facial Foam Deep Cleansing & Oil Control 100ml,31200.0,39000.0,20.0,5.0,1.0,,Watsons
ACNES Natural Care Face Wash Oil Control 50g,20800.0,24500.0,15.0,5.0,5.0,,Watsons
EMINA Twin Pack Water Bright Glow Gel 30g,71000.0,84000.0,15.0,,0.0,,Watsons
EMINA Twin Pack Bright Stuff Tone Up Gel 20ml,45000.0,53000.0,15.0,5.0,2.0,,Watsons
WARDAH Barrier Soothe Twist Cleansing Balm 40g,235000.0,235000.0,0.0,,0.0,,Watsons
BC SKIN Snail Sugar Scrub 30g,72200.0,85000.0,15.0,,0.0,,Watsons
YOU Golden Age Intensive Serum 20ml,129900.0,129900.0,0.0,,0.0,,Watsons
EMINA Niacinamide PHA Pore Brightening Toner 100ml,33300.0,37000.0,10.0,,0.0,,Watsons
BC SKIN Rose Glow Mist 60ml,28000.0,28000.0,0.0,,0.0,,Watsons
BC SKIN 3In1 Cysteamine Whitening Cream 15g,242200.0,285000.0,15.0,,0.0,,Watsons
WARDAH LHA Camellia Oil Pore Purifying Cleansing Oil 140ml,135000.0,135000.0,0.0,,0.0,,Watsons
BC SKIN Cysteamine E Serum 30ml,242200.0,285000.0,15.0,,0.0,,Watsons
EMINA CicaPro BHA Acne Soothing Toner 100ml,33300.0,37000.0,10.0,,0.0,,Watsons
EMINA Advanced Bright Serum 17ml,39000.0,39000.0,0.0,,0.0,,Watsons
EMINA Pro Peeling Solution 17ml,43000.0,43000.0,0.0,,0.0,,Watsons
YOU Golden Age Illuminating Day Cream 30g,119900.0,119900.0,0.0,,0.0,,Watsons
EMINA Ceramide Glow Barrier Milky Toner 100ml,33300.0,37000.0,10.0,,0.0,,Watsons
GLAD2GLOW White Truffle Radiance Glow Serum Spray 100ml,67100.0,79000.0,15.0,5.0,2.0,,Watsons
SCORA D-Panthenol Barrier Boost Serum 20ml,25500.0,30000.0,0.0,5.0,1.0,,Watsons
SKINTIFIC Damask Rose Brightening Whipped Cream Cleanser 120g,62100.0,113000.0,35.0,5.0,3.0,,Watsons
JACQUELLE Hydrocolloid Acne Patch - Quby Edition 24'S,44100.0,63000.0,20.0,,0.0,,Watsons
FACERINNA 2% Niacinamide Power Bright Cleanser 70ml,35100.0,39000.0,10.0,,0.0,,Watsons
YOU Golden Age Revitalizing Night Cream 30g,119900.0,119900.0,0.0,,0.0,,Watsons
SKINTIFIC Exfoliating Pads & Daily Mask Bundle,426200.0,426200.0,0.0,,0.0,,Watsons
FACERINNA Salicylic Acid Acne Gel Cleanser 70ml,35100.0,39000.0,10.0,,0.0,,Watsons
EMINA Acne Clear Expert Serum 17ml,39000.0,39000.0,0.0,,0.0,,Watsons
SCORA Hydra Calm Cica Acne Serum 20ml,25500.0,30000.0,0.0,,0.0,,Watsons
GLAD2GLOW 7% Glycolic Acid Essence Toner 100ml,41600.0,49000.0,15.0,,0.0,,Watsons
SCORA Phytobright Gentle Low pH Cleanser 100ml,47900.0,47900.0,0.0,,0.0,,Watsons
HIMALAYA Bye Bye Dark Spot Kit Stick Mask,155500.0,155500.0,0.0,,0.0,,Watsons
EMINA Twin Pack Water Barrier Balancing Gel 30g,71000.0,84000.0,15.0,,0.0,,Watsons
JACQUELLE Hydrocolloid Acne Patch - Zootopia 2 Edition 24'S,44100.0,63000.0,20.0,,0.0,,Watsons
SCORA Succinic Acid HydraCalm Low pH Cleanser 100ml,47900.0,47900.0,0.0,,0.0,,Watsons
BC SKIN Centella Snail BubbleCleanser 100ml,157200.0,185000.0,15.0,,0.0,,Watsons
FACERINNA Low pH B5 Gel Cleanser 70ml,35100.0,39000.0,10.0,5.0,1.0,,Watsons
WARDAH Acne Serum Acnederm Relief Serum 20ml,112800.0,129000.0,0.0,,0.0,,Watsons
SKINTIFIC 5% B5 Ceramide Barrier Relief Moisturizer 50g,129200.0,198800.0,35.0,5.0,1.0,,Watsons
FACETOLOGY Triple Care All Day Bright Cream Shade Neutral 10g,54500.0,54500.0,0.0,,0.0,,Watsons
FACETOLOGY Triple Care All Day Bright Cream Shade Warm 10g,54500.0,54500.0,0.0,5.0,1.0,,Watsons
WARDAH Triple Pack Wardah Crystal Secret Foaming Cleanser 100ml,105500.0,124500.0,15.0,,0.0,,Watsons
FACETOLOGY Triple Care All Day Bright Cream Shade Light 10g,54500.0,54500.0,0.0,,0.0,,Watsons
NEWLAB+ Brightlogy Intensive Night Cream with 1% Hexylresorcinol & PDRN 30g,108300.0,180600.0,40.0,,0.0,,Watsons
BC SKIN Hydrate Micellar Water with Deep Cleansing Oil 100ml,114700.0,135000.0,15.0,,0.0,,Watsons
FACERINNA 5% B5 Centella Calming Gel Cream 30ml,59000.0,59000.0,0.0,,0.0,,Watsons
NEWLAB+ Brightlogy Intensive UV Shield Day Cream with Hexylresorcinol & PDRN 30g,108300.0,180600.0,40.0,,0.0,,Watsons
OMG Oh My Glow 11x Ultra Hyaluron Ceramide Intensive Serum 17ml,31950.0,35500.0,10.0,,0.0,,Watsons
OMG Oh My Glow 2% Salicylic Acid Complex Cica Acne Intensive Solution Serum 17ml,31950.0,35500.0,10.0,,0.0,,Watsons
OMG Oh My Glow 10% Niacinamide Pro Tranexamic Acid Ultra Brightening Expert Serum 17ml,31950.0,35500.0,10.0,,0.0,,Watsons
OMG Oh My Glow 1% Ultra-Pro Retinol Cica Pure Smooth Retinol Serum 17ml,37000.0,41500.0,10.0,,0.0,,Watsons
OMG Oh My Glow 13% Multi AHA BHA PHA CICA Intensive Exfoliating Peeling Serum 17ml,37000.0,41500.0,10.0,,0.0,,Watsons
GLAD2GLOW Clean it All Cleansing Balm,67100.0,79000.0,15.0,,0.0,,Watsons
OMG Oh My Glow 2% Niacinamide Pro Hyaluronic Acid Brightening Toner 75ml,18000.0,18000.0,0.0,,0.0,,Watsons
WARDAH Triple Pack Wardah UV Shield Airy Smooth Sunscreen Serum SPF 50 PA++++ 40ml,157500.0,186000.0,15.0,,0.0,,Watsons
SOME BY MI Retinol Intense Trial Kit,172000.0,172000.0,0.0,,0.0,,Watsons
OXY Oxy Acne Cleanser Face Wash 100Gr,35100.0,43900.0,20.0,5.0,5.0,,Watsons
NUXE Nuxe Aquabella Micro Exfoliating Purifying Gel 150 ml,267700.0,315000.0,15.0,5.0,2.0,,Watsons
CLEAN & CLEAR Foaming Face Wash Twinpack 100ml,51000.0,51000.0,0.0,5.0,7.0,,Watsons
SCORA Phytobright Milky Toner 80ml,31000.0,31000.0,0.0,5.0,2.0,,Watsons
SCORA Hydra Calm Cica Toner 80ml,31000.0,31000.0,0.0,,0.0,,Watsons
SENKA Perfect Whip Cinnamoroll Edition 120g,62400.0,78000.0,20.0,5.0,1.0,,Watsons
SENKA Perfect Whip Collagen In Cinnamoroll Edition 120g,84800.0,106000.0,20.0,5.0,1.0,,Watsons
SCORA D-Panthenol Barrier Essence Toner 80ml,31000.0,31000.0,0.0,,0.0,,Watsons
NUXE Nuxe Huile Prodigieuse Multi Purpose Dry Oil 30 ml,330000.0,330000.0,0.0,,0.0,,Watsons
NUXE Nuxe Huile Prodigieuse Multi-Purpose Dry Oil 100 ml,905000.0,905000.0,0.0,,0.0,,Watsons
NUXE Nuxe Huile Prodigieuse Multi Purpose Dry Oil 50 ml,560000.0,560000.0,0.0,5.0,2.0,,Watsons
FACERINNA Facerinna Ceramide B5 Balancing Toner 100ml,44100.0,49000.0,10.0,,0.0,,Watsons
SENKA Perfect Whip Clay Cinnamoroll Edition 120g,69600.0,87000.0,20.0,,0.0,,Watsons
HANASUI Twin Pack Calm & Clear Micellar Water 300ml,77800.0,119800.0,25.0,,0.0,,Watsons
SOME BY MI Beta Panthenol Repair Starter Kit,240000.0,240000.0,0.0,,0.0,,Watsons
SOME BY MI Yuja Niacin Anti Blemish Starter Kit,240000.0,240000.0,0.0,,0.0,,Watsons
SENKA Perfect Whip Acne Care Cinnamoroll Edition 100g,79200.0,99000.0,20.0,,0.0,,Watsons
WARDAH Derma Sensitive Skin Rescue Moisturizer Neutrazen™ + Madecassoside 50g,139000.0,139000.0,0.0,5.0,2.0,,Watsons
BLESS Day Cream 18g,120000.0,120000.0,0.0,,0.0,,Watsons
BLESS Cleansing Freshner 125ml,95000.0,95000.0,0.0,,0.0,,Watsons
SOME BY MI AHA-BHA-PHA 30 Days Miracle AC SOS Kit,240000.0,240000.0,0.0,,0.0,,Watsons
