toko,kategori,nama_produk,harga,harga_original,harga_member,diskon,rating,jumlah_review,jumlah_terjual,lokasi,brand,url_produk,url_gambar,tanggal_scraping,halaman
Watsons,Facial,DERMACTION PLUS Potent Triple Vitamin C Whip Facial Foam 100 g,45900,91900.0,,50.0,5.0,3.0,,Indonesia,DERMACTION,https://www.watsons.co.id/id/dermaction-plus-potent-triple-vitamin-c-whip-facial-foam-100-g/p/BP_51970,,2026-05-07,0
Watsons,Facial,WATSONS Micellar Water Hydra 500ml,44900,99900.0,,55.0,5.0,2.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-micellar-water-hydra-500ml/p/BP_59813,,2026-05-07,0
Watsons,Facial,WATSONS Micellar Water Hydra 100ml,20900,29900.0,19855.0,30.0,,0.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-micellar-water-hydra-100ml/p/BP_59814,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,0
Watsons,Facial,COLLAGEN BY WATSONS Hydro Balance Aqua Balm 9g,202900,289900.0,192755.0,30.0,,0.0,,Indonesia,COLLAGEN,https://www.watsons.co.id/id/collagen-by-watsons-hydro-balance-aqua-balm-9g/p/BP_63209,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,0
Watsons,Facial,WATSONS Girlish Gentle & Mild Micellar Cleansing Water 485ml,39900,99900.0,,60.0,5.0,84.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-girlish-gentle-mild-micellar-cleansing-water-485ml/p/BP_59387,,2026-05-07,0
Watsons,Facial,DERMACTION PLUS Potent Triple Vitamin C Intensive Serum 35 ml,96900,194900.0,,50.0,5.0,2.0,,Indonesia,DERMACTION,https://www.watsons.co.id/id/dermaction-plus-potent-triple-vitamin-c-intensive-serum-35-ml/p/BP_52112,,2026-05-07,0
Watsons,Facial,COLLAGEN BY WATSONS Hydro Balance Eye Treatment Cream 20ml,139900,199900.0,132905.0,30.0,,0.0,,Indonesia,COLLAGEN,https://www.watsons.co.id/id/collagen-by-watsons-hydro-balance-eye-treatment-cream-20ml/p/BP_63205,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,0
Watsons,Facial,WATSONS Watsons Micellar Water Gentle for Sensitive Skin 500ml,44900,99900.0,,55.0,5.0,10.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-watsons-micellar-water-gentle-for-sensitive-skin-500ml/p/BP_48898,,2026-05-07,0
Watsons,Facial,WATSONS Watsons Micellar Water Gentle for Sensitive Skin 100ml,20900,29900.0,19855.0,30.0,5.0,4.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-watsons-micellar-water-gentle-for-sensitive-skin-100ml/p/BP_48899,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,0
Watsons,Facial,WATSONS Cicare Pro+ Soothing Mask 30ml,12900,27900.0,,50.0,,0.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-cicare-pro-soothing-mask-30ml/p/BP_59840,,2026-05-07,0
