toko,nama_produk,harga,harga_original,diskon,rating,jumlah_review,jumlah_terjual
Sociolla,MULTI EYE COLOR PALETTE,0.0,621000.0,0.0,4.92,5,5
Sociolla,VELVET LIP TINT,0.0,264000.0,0.0,4.576190476190476,42,42
Sociolla,LIP COLOR,0.0,317000.0,0.0,,0,0
Sociolla,MINI MULTI EYE COLOR PALETTE,0.0,423000.0,0.0,4.883333333333334,6,12
Sociolla,FACE BLUSH,0.0,300000.0,0.0,4.858823529411765,13,17
Sociolla,BLUR WATER TINT,0.0,264000.0,0.0,4.729629629629629,51,54
Sociolla,CLOUD LIP TINT,0.0,264000.0,0.0,4.768421052631579,17,19
Sociolla,NEW TAKE EYESHADOW PALETTE,0.0,880000.0,0.0,5.0,1,5
Sociolla,SUPER SLIM EYE BROW PENCIL,0.0,212000.0,0.0,5.0,1,4
Sociolla,VELVET FIT FOUNDATION,0.0,564000.0,0.0,5.0,1,2
Sociolla,LIQUID PRIMER EYE SHADOW,0.0,264000.0,0.0,4.975,2,8
Sociolla,Waterproof Mega Volume Mascara,0.0,352000.0,0.0,,0,0
Sociolla,[ 3CE x TOILETPAPER]   MAKEUP FIX POWDER,0.0,581000.0,0.0,5.0,3,4
Sociolla,SOFT MATTE LIPSTICK,0.0,317000.0,0.0,4.844444444444445,4,9
Sociolla,EYEBROW MASCARA,0.0,241500.0,0.0,4.7333333333333325,5,9
Sociolla,[  3CEx TOILETPAPER]   MOOD RECIPE FACE BLUSH,0.0,352000.0,0.0,,0,0
Sociolla,EYE SWITCH,0.0,264000.0,0.0,5.0,2,6
Sociolla,SYRUP LAYERING TINT,0.0,264000.0,0.0,4.876923076923077,5,13
Sociolla,NEW TAKE FACE BLUSHER,0.0,352000.0,0.0,5.0,1,6
Sociolla,TATTOO LIP TINT,0.0,229000.0,0.0,5.0,2,7
Sociolla,Glaze Lip Tint,0.0,264000.0,0.0,,0,0
Sociolla,[ 3CE x TOILETPAPER]   VELVET LIP TINT,0.0,317000.0,0.0,5.0,4,8
Sociolla,Plumping Lips,0.0,229000.0,0.0,,0,0
Sociolla,[ 3CE x TOILETPAPER]   FACE BLUSH,0.0,352000.0,0.0,4.975,5,8
Sociolla,[ 3CE x TOILETPAPER]   MULTI EYE COLOR PALETTE,0.0,775000.0,0.0,5.0,1,1
Sociolla,SUPER SLIM PEN EYE LINER,0.0,229000.0,0.0,4.971428571428572,4,7
Sociolla,Heartleaf Essence Calming Pump,0.0,380000.0,0.0,4.775,8,10
Sociolla,Quick Sunstick Protection Bar,0.0,400000.0,0.0,4.666666666666666,17,18
Sociolla,Yuja Essence Vitalizing Pump,0.0,380000.0,0.0,4.607142857142858,5,7
Sociolla,Heartleaf Spot Pad Calming Touch,0.0,360000.0,0.0,4.694444444444445,16,18
Sociolla,Heartleaf Calming Toner Skin Booster,0.0,205000.0,0.0,4.575,18,20
